Grade,Subject Group,Subject,Module,Unit,Lesson,Subtopic
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,ธรรมชาติและพัฒนาการทางฟิสิกส์,ธรรมชาติฟิสิกส์,การค้นคว้าหาความรู้ทางฟิสิกส์
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,ธรรมชาติและพัฒนาการทางฟิสิกส์,ธรรมชาติฟิสิกส์,พัฒนาการของหลักการและแนวคิดทางฟิสิกส์
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,ธรรมชาติและพัฒนาการทางฟิสิกส์,ธรรมชาติฟิสิกส์,การแสวงหาความรู้ใหม่และพัฒนาเทคโนโลยี
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,ธรรมชาติและพัฒนาการทางฟิสิกส์,การวัดและรายงานผลการวัดปริมาณทางฟิสิกส์,หน่วยในระบบ SI
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,ธรรมชาติและพัฒนาการทางฟิสิกส์,การวัดและรายงานผลการวัดปริมาณทางฟิสิกส์,สัญกรณ์วิทยาศาสตร์
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,ธรรมชาติและพัฒนาการทางฟิสิกส์,การวัดและรายงานผลการวัดปริมาณทางฟิสิกส์,การแปลงหน่วย
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,ธรรมชาติและพัฒนาการทางฟิสิกส์,การวัดและรายงานผลการวัดปริมาณทางฟิสิกส์,เลขนัยสำคัญ
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,ธรรมชาติและพัฒนาการทางฟิสิกส์,การวัดและรายงานผลการวัดปริมาณทางฟิสิกส์,ความคลาดเคลื่อน
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,ธรรมชาติและพัฒนาการทางฟิสิกส์,การวัดและรายงานผลการวัดปริมาณทางฟิสิกส์,การอ่านค่าจากเครื่องมือวัด
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,ธรรมชาติและพัฒนาการทางฟิสิกส์,การทดลองทางฟิสิกส์,การรายงานความคลาดเคลื่อน
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,ธรรมชาติและพัฒนาการทางฟิสิกส์,การทดลองทางฟิสิกส์,การเขียนกราฟจากการทดลอง
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,ธรรมชาติและพัฒนาการทางฟิสิกส์,การทดลองทางฟิสิกส์,การวิเคราะห์ผลการทดลองจากกราฟ
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,ธรรมชาติและพัฒนาการทางฟิสิกส์,ปริมาณพื้นฐานในวิชาฟิสิกส์,ปริมาณสเกลาร์
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,ธรรมชาติและพัฒนาการทางฟิสิกส์,ปริมาณพื้นฐานในวิชาฟิสิกส์,ปริมาณเวกเตอร์และการดำเนินการ
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,ธรรมชาติและพัฒนาการทางฟิสิกส์,คณิตศาสตร์สำหรับฟิสิกส์,ทฤษฎีบทพีทาโกรัส
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,ธรรมชาติและพัฒนาการทางฟิสิกส์,คณิตศาสตร์สำหรับฟิสิกส์,ตรีโกณมิติพื้นฐาน
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,ธรรมชาติและพัฒนาการทางฟิสิกส์,คณิตศาสตร์สำหรับฟิสิกส์,กราฟพื้นฐาน
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,ธรรมชาติและพัฒนาการทางฟิสิกส์,คณิตศาสตร์สำหรับฟิสิกส์,แคลคูลัสเบื้องต้น
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,การเคลื่อนที่แนวตรง,ปริมาณที่เกี่ยวกับการเคลื่อนที่,ตำแหน่ง ระยะทาง และการกระจัด
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,การเคลื่อนที่แนวตรง,ปริมาณที่เกี่ยวกับการเคลื่อนที่,อัตราเร็วและความเร็ว
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,การเคลื่อนที่แนวตรง,ปริมาณที่เกี่ยวกับการเคลื่อนที่,อัตราเร็วเฉลี่ยและความเร็วเฉลี่ย
มัธยมปลาย,วิทยาศาสตร์,ฟิสิกส์,กลุ่มกลศาสตร์,การเคลื่อนที่แนวตรง,ปริมาณที่เกี่ยวกับการเคลื่อนที่,ความเร็วขณะหนึ่งและอัตราเร็วขณะหนึ่ง
